instance,epoch,link0,link1,link2,link3,link4,link5
arm_58,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_59,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_60,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_61,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_62,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_63,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_64,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_65,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_66,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_67,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_68,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_69,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_70,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_71,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_72,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_73,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_74,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_75,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_76,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_77,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_78,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_79,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_80,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_81,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_82,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_83,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_84,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_85,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_86,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_87,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_88,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_89,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_90,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_91,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_92,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_93,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_94,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_95,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_96,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_97,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_98,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_99,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_100,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_101,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_102,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_103,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_104,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_105,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_106,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_107,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_108,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_109,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_110,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_111,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_112,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_113,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_114,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_115,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_116,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_117,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_118,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_119,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_120,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_121,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_122,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_123,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_124,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_125,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_126,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_127,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_128,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_129,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_130,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_131,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_132,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_133,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_134,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_135,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_136,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_137,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_138,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_139,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_140,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_141,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_142,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_143,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_144,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_145,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_146,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_147,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_148,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_149,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_150,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_151,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_152,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_153,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_154,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_155,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_156,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_157,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_158,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_159,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_160,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_161,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_162,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_163,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_164,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_165,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_166,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_167,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_168,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_169,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_170,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_171,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_172,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_173,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_174,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_175,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_176,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_177,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_178,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_179,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_180,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_181,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_182,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_183,2,518.233,511.982,509.769,0.0,490.647,0.0
arm_184,2,518.233,511.982,509.769,0.0,490.647,0.0
