instance,epoch,link0,link1,link2,link3,link4,link5
arm_153,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_154,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_155,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_156,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_157,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_158,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_159,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_160,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_161,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_162,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_163,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_164,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_165,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_166,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_167,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_168,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_169,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_170,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_171,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_172,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_173,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_174,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_175,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_176,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_177,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_178,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_179,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_180,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_181,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_182,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_183,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_184,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_185,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_186,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_187,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_188,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_189,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_190,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_191,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_192,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_193,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_194,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_195,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_196,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_197,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_198,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_199,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_200,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_201,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_0,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_1,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_2,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_3,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_4,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_5,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_6,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_7,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_8,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_9,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_10,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_11,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_12,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_13,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_14,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_15,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_16,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_17,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_18,2,495.95,499.843,478.148,503.655,490.089,487.74
